Disease,Description
Reacción a la droga,Una reacción adversa a medicamentos (RAM) es una lesión causada por la toma de medicamentos. Las reacciones adversas pueden ocurrir después de una dosis única o la administración prolongada de un medicamento o como resultado de la combinación de dos o más medicamentos.
Malaria,Enfermedad infecciosa causada por parásitos protozoarios de la familia Plasmodium que puede transmitirse por la picadura del mosquito Anopheles o por una aguja o transfusión contaminada. La malaria falciparum es el tipo más mortal.
Alergia,"Una alergia es una respuesta del sistema inmunológico a una sustancia extraña que normalmente no es dañina para el cuerpo. Pueden incluir ciertos alimentos, polen o caspa de mascotas. El trabajo de su sistema inmunológico es mantenerlo saludable combatiendo los patógenos dañinos."
hipotiroidismo,"El hipotiroidismo, también llamado tiroides hipoactiva o tiroides baja, es un trastorno del sistema endocrino en el que la glándula tiroides no produce suficiente hormona tiroidea."
Soriasis,"La psoriasis es un trastorno cutáneo común que forma manchas gruesas, rojas y con bultos cubiertas de escamas plateadas. Pueden aparecer en cualquier lugar, pero la mayoría aparecen en el cuero cabelludo, los codos, las rodillas y la zona lumbar. La psoriasis no se puede transmitir de persona a persona. A veces ocurre en miembros de la misma familia."
Reflujo gastroesofágico,"La enfermedad por reflujo gastroesofágico, o ERGE, es un trastorno digestivo que afecta el esfínter esofágico inferior (EEI), el anillo de músculo entre el esófago y el estómago. Muchas personas, incluidas las mujeres embarazadas, sufren acidez de estómago o indigestión ácida causada por ERGE."
colestasis crónica,"Las enfermedades colestásicas crónicas, ya sea que ocurran en la infancia, la niñez o la edad adulta, se caracterizan por un transporte defectuoso de ácidos biliares desde el hígado al intestino, que en la mayoría de los casos es causado por un daño primario al epitelio biliar."
hepatitis A,La hepatitis A es una infección hepática altamente contagiosa causada por el virus de la hepatitis A. El virus es uno de varios tipos de virus de la hepatitis que causan inflamación y afectan la capacidad de funcionamiento del hígado.
Osteoartritis,La osteoartritis es la forma más común de artritis y afecta a millones de personas en todo el mundo. Ocurre cuando el cartílago protector que amortigua los extremos de los huesos se desgasta con el tiempo.
(vértigo) Vértigo posicional paroxístico,El vértigo posicional paroxístico benigno (VPPB) es una de las causas más comunes de vértigo: la sensación repentina de que estás dando vueltas o que el interior de tu cabeza está dando vueltas. El vértigo posicional paroxístico benigno causa episodios breves de mareos leves a intensos.
hipoglucemia,"La hipoglucemia es una afección en la que el nivel de azúcar (glucosa) en la sangre es más bajo de lo normal. La glucosa es la principal fuente de energía de su cuerpo. La hipoglucemia suele estar relacionada con el tratamiento de la diabetes. Pero otros medicamentos y una variedad de afecciones, muchas de ellas poco comunes, pueden causar niveles bajos de azúcar en sangre en personas que no tienen diabetes."
Acné,"El acné vulgar es la formación de comedones, pápulas, pústulas, nódulos y/o quistes como resultado de la obstrucción e inflamación de las unidades pilosebáceas (folículos pilosos y las glándulas sebáceas que los acompañan). El acné se desarrolla en la cara y la parte superior del tronco. Afecta con mayor frecuencia a los adolescentes."
Diabetes,"La diabetes es una enfermedad que ocurre cuando el nivel de glucosa en la sangre, también llamado azúcar en la sangre, es demasiado alto. La glucosa en sangre es su principal fuente de energía y proviene de los alimentos que consume. La insulina, una hormona producida por el páncreas, ayuda a que la glucosa de los alimentos llegue a las células para ser utilizada como energía."
Impétigo,"El impétigo es una infección cutánea común y altamente contagiosa que afecta principalmente a bebés y niños. El impétigo suele aparecer como llagas rojas en la cara, especialmente alrededor de la nariz y la boca del niño, y en las manos y los pies. Las llagas estallan y desarrollan costras de color miel."
Hipertensión,"La hipertensión (HTN o HT), también conocida como presión arterial alta (HBP), es una afección médica a largo plazo en la que la presión arterial en las arterias está elevada persistentemente. La presión arterial alta normalmente no causa síntomas."
La enfermedad de úlcera péptica,"La enfermedad de úlcera péptica (PUD) es una rotura en el revestimiento interno del estómago, la primera parte del intestino delgado o, a veces, en la parte inferior del esófago. Una úlcera en el estómago se llama úlcera gástrica, mientras que una en la primera parte de los intestinos es úlcera duodenal."
Hemorroides dimórficas (almorranas),"Las hemorroides, también llamadas hemorroides, son estructuras vasculares en el canal anal. En sus... Otros nombres, Hemorroides, almorranas, enfermedad hemorroidal."
Resfriado común,"El resfriado común es una infección viral de la nariz y la garganta (tracto respiratorio superior). Generalmente es inofensivo, aunque puede que no lo parezca. Muchos tipos de virus pueden causar un resfriado común."
Varicela,"La varicela es una enfermedad altamente contagiosa causada por el virus varicela-zoster (VZV). Puede causar un sarpullido parecido a una ampolla que pica. La erupción aparece primero en el pecho, la espalda y la cara, y luego se extiende por todo el cuerpo, provocando entre 250 y 500 ampollas que pican."
Espondilosis cervical,"Espondilosis cervical es un término general para el desgaste relacionado con la edad que afecta los discos espinales del cuello. A medida que los discos se deshidratan y se encogen, se desarrollan signos de osteoartritis, incluidas proyecciones óseas a lo largo de los bordes de los huesos (espolones óseos)."
Infección del tracto urinario,"Infección del tracto urinario: infección del riñón, uréter, vejiga o uretra. ITU abreviada. No todas las personas con una ITU presentan síntomas, pero los síntomas comunes incluyen una necesidad frecuente de orinar y dolor o ardor al orinar."
Venas varicosas,"Una vena que se ha agrandado y torcido, a menudo aparece como un vaso sanguíneo azul abultado que es claramente visible a través de la piel. Las venas varicosas son más comunes en los adultos mayores, particularmente en las mujeres, y ocurren especialmente en las piernas."
SIDA,"El síndrome de inmunodeficiencia adquirida (SIDA) es una afección crónica y potencialmente mortal causada por el virus de la inmunodeficiencia humana (VIH). Al dañar su sistema inmunológico, el VIH interfiere con la capacidad de su cuerpo para combatir infecciones y enfermedades."
Parálisis (hemorragia cerebral),"La hemorragia intracerebral (HIC) ocurre cuando la sangre irrumpe repentinamente en el tejido cerebral y causa daño al cerebro. Los síntomas suelen aparecer repentinamente durante la HIC. Incluyen dolor de cabeza, debilidad, confusión y parálisis, particularmente en un lado del cuerpo."
Tifoidea,"Una enfermedad aguda caracterizada por fiebre causada por una infección con la bacteria Salmonella typhi. La fiebre tifoidea tiene un inicio insidioso, con fiebre, dolor de cabeza, estreñimiento, malestar general, escalofríos y dolores musculares. La diarrea es poco común y los vómitos no suelen ser graves."
Hepatitis B,"La hepatitis B es una infección del hígado. Puede causar cicatrices en el órgano, insuficiencia hepática y cáncer. Puede ser fatal si no se trata. Se transmite cuando las personas entran en contacto con la sangre, llagas abiertas o fluidos corporales de alguien que tiene el virus de la hepatitis B."
Micosis,"En los seres humanos, las infecciones por hongos ocurren cuando un hongo invasor se apodera de un área del cuerpo y es demasiado para que el sistema inmunológico lo maneje. Los hongos pueden vivir en el aire, el suelo, el agua y las plantas. También existen algunos hongos que viven de forma natural en el cuerpo humano. Como muchos microbios, existen hongos útiles y hongos dañinos."
Hepatitis C,"Inflamación del hígado debido al virus de la hepatitis C (VHC), que generalmente se transmite mediante transfusión de sangre (poco común), hemodiálisis y pinchazos con agujas. El daño que la hepatitis C causa al hígado puede provocar cirrosis y sus complicaciones, así como cáncer."
Migraña,"Una migraña puede causar un dolor punzante intenso o una sensación de pulsación, generalmente en un lado de la cabeza. Suele ir acompañada de náuseas, vómitos y sensibilidad extrema a la luz y al sonido. Los ataques de migraña pueden durar de horas a días y el dolor puede ser tan intenso que interfiere con sus actividades diarias."
Asma bronquial,"El asma bronquial es una afección médica que hace que las vías respiratorias de los pulmones se hinchen y se estrechen. Debido a esta hinchazón, la vía aérea produce un exceso de moco que dificulta la respiración, lo que provoca tos, dificultad para respirar y sibilancias. La enfermedad es crónica e interfiere con el trabajo diario."
hepatitis alcohólica,"La hepatitis alcohólica es una afección inflamatoria del hígado causada por el consumo excesivo de alcohol durante un período prolongado. También se ve agravado por el consumo excesivo de alcohol y el consumo continuo de alcohol. Si desarrolla esta condición, debe dejar de beber alcohol."
Ictericia,"Tinción amarilla de la piel y las escleróticas (el blanco de los ojos) debido a niveles sanguíneos anormalmente altos del pigmento biliar bilirrubina. El color amarillento se extiende a otros tejidos y fluidos corporales. La ictericia alguna vez fue llamada ""morbus regius"" (la enfermedad real) en la creencia de que sólo el toque de un rey podía curarla."
Hepatitis E,Una forma rara de inflamación del hígado causada por una infección con el virus de la hepatitis E (VHE). Se transmite a través de alimentos o bebidas manipulados por una persona infectada o a través de suministros de agua infectados en áreas donde la materia fecal puede entrar al agua. La hepatitis E no causa enfermedad hepática crónica.
Dengue,"una enfermedad infecciosa aguda causada por un flavivirus (especie de virus del dengue del género Flavivirus), transmitida por mosquitos aedes y caracterizada por dolor de cabeza, dolor intenso en las articulaciones y sarpullido. — también llamada fiebre rompehuesos, dengue."
Hepatitis D,"La hepatitis D, también conocida como virus de la hepatitis delta, es una infección que provoca la inflamación del hígado. Esta hinchazón puede afectar la función hepática y causar problemas hepáticos a largo plazo, incluidas cicatrices en el hígado y cáncer. La afección es causada por el virus de la hepatitis D (VHD)."
Infarto de miocardio,"La muerte del músculo cardíaco debido a la pérdida de suministro de sangre. La pérdida de suministro de sangre suele ser causada por una obstrucción completa de una arteria coronaria, una de las arterias que suministra sangre al músculo cardíaco."
Neumonía,"La neumonía es una infección en uno o ambos pulmones. Lo causan bacterias, virus y hongos. La infección causa inflamación en los sacos de aire de los pulmones, que se llaman alvéolos. Los alvéolos se llenan de líquido o pus, lo que dificulta la respiración."
Artritis,"La artritis es la hinchazón y la sensibilidad de una o más de sus articulaciones. Los principales síntomas de la artritis son dolor y rigidez en las articulaciones, que normalmente empeoran con la edad. Los tipos más comunes de artritis son la osteoartritis y la artritis reumatoide."
Gastroenteritis,"La gastroenteritis es una inflamación del tracto digestivo, particularmente del estómago y de los intestinos grueso y delgado. La gastroenteritis viral y bacteriana son infecciones intestinales asociadas con síntomas de diarrea, calambres abdominales, náuseas y vómitos."
Tuberculosis,"La tuberculosis (TB) es una enfermedad infecciosa causada generalmente por la bacteria Mycobacterium tuberculosis (MTB). La tuberculosis generalmente afecta los pulmones, pero también puede afectar otras partes del cuerpo. La mayoría de las infecciones no presentan síntomas, en cuyo caso se la conoce como tuberculosis latente."
